"Type","Path","Name","Description","Unit"
"Hierarchy","\C4. MOLINO BOLAS 04","C4. MOLINO BOLAS 04","",""
"Set","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E","3224-MOLINO BOLA04 E","",""
"Set","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE","ML-004-ESTE","",""
"Machine","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR","MOTOR","",""
"Hierarchy","\Hierarchy","Hierarchy","",""
"Set","\Hierarchy\MOLIENDA","MOLIENDA","",""
"Set","\Hierarchy\MOLIENDA\MOLINO BOLAS 04","MOLINO BOLAS 04","",""
"Set","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E","3224-MOLINO BOLA04 E","",""
"Set","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE","ML-004-ESTE","",""
"Machine","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR","MOTOR","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\1HV","1HV","@ABC","mm/s"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\1HV","1HV","@ABC","mm/s"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\1HBaja","1HBaja","@ABC","mm/s"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\1HBaja","1HBaja","@ABC","mm/s"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\1EA3","1EA3","@ABC","gE"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\1EA3","1EA3","@ABC","gE"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\1Hac","1Hac","@ABC","m/s^2"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\1Hac","1Hac","@ABC","m/s^2"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\1HAO","1HAO","@ABC","m/s^2"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\1HAO","1HAO","@ABC","m/s^2"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\1VV","1VV","","mm/s"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\1VV","1VV","","mm/s"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\1AV","1AV","","mm/s"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\1AV","1AV","","mm/s"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\1T","1T","","C"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\1T","1T","","C"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\2HV","2HV","@ABC","mm/s"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\2HV","2HV","@ABC","mm/s"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\2HBaja","2HBaja","@ABC","mm/s"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\2HBaja","2HBaja","@ABC","mm/s"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\2EA3","2EA3","@ABC","gE"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\2EA3","2EA3","@ABC","gE"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\2Hac","2Hac","@ABC","m/s^2"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\2Hac","2Hac","@ABC","m/s^2"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\2HAO","2HAO","@ABC","m/s^2"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\2HAO","2HAO","@ABC","m/s^2"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\2VV","2VV","","mm/s"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\2VV","2VV","","mm/s"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\2AV","2AV","","mm/s"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\2AV","2AV","","mm/s"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\2T","2T","","C"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\2T","2T","","C"
"Machine","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR","REDUCTOR","",""
"Machine","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR","REDUCTOR","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\3HV","3HV","@ABC","mm/s"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\3HV","3HV","@ABC","mm/s"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\3HBaja","3HBaja","@ABC","mm/s"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\3HBaja","3HBaja","@ABC","mm/s"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\3HE3","3HE3","@ABC","gE"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\3HE3","3HE3","@ABC","gE"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\3Hac","3Hac","@ABC","m/s^2"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\3Hac","3Hac","@ABC","m/s^2"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\3VV","3VV","","mm/s"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\3VV","3VV","","mm/s"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\3AV","3AV","@123","mm/s"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\3AV","3AV","@123","mm/s"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\3AO","3AO","@123","m/s^2"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\3AO","3AO","@123","m/s^2"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\3T","3T","","C"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\3T","3T","","C"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\4HV","4HV","@ABC","mm/s"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\4HV","4HV","@ABC","mm/s"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\4HBaja","4HBaja","@ABC","mm/s"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\4HBaja","4HBaja","@ABC","mm/s"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\4HE3","4HE3","@ABC","gE"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\4HE3","4HE3","@ABC","gE"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\4Hac","4Hac","@ABC","m/s^2"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\4Hac","4Hac","@ABC","m/s^2"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\4VV","4VV","","mm/s"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\4VV","4VV","","mm/s"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\4AV","4AV","@123","mm/s"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\4AV","4AV","@123","mm/s"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\4AO","4AO","@123","m/s^2"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\4AO","4AO","@123","m/s^2"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\4T","4T","","C"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\4T","4T","","C"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\5HV","5HV","@ABC","mm/s"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\5HV","5HV","@ABC","mm/s"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\5HBaja","5HBaja","@ABC","mm/s"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\5HBaja","5HBaja","@ABC","mm/s"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\5Hac","5Hac","@ABC","m/s^2"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\5Hac","5Hac","@ABC","m/s^2"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\5HE3","5HE3","@ABC","gE"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\5HE3","5HE3","@ABC","gE"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\5OAB","5OAB","@ABC","m/s^2"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\5OAB","5OAB","@ABC","m/s^2"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\5VV","5VV","","mm/s"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\5VV","5VV","","mm/s"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\5AV","5AV","@123","mm/s"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\5AV","5AV","@123","mm/s"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\5AO","5AO","@123","m/s^2"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\5AO","5AO","@123","m/s^2"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\5T","5T","","C"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\5T","5T","","C"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\6HV","6HV","@ABC","mm/s"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\6HV","6HV","@ABC","mm/s"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\6HBaja","6HBaja","@ABC","mm/s"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\6HBaja","6HBaja","@ABC","mm/s"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\6HE3","6HE3","@ABC","gE"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\6HE3","6HE3","@ABC","gE"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\6Hac","6Hac","@ABC","m/s^2"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\6Hac","6Hac","@ABC","m/s^2"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\6OAB","6OAB","@ABC","m/s^2"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\6OAB","6OAB","@ABC","m/s^2"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\6VV","6VV","","mm/s"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\6VV","6VV","","mm/s"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\6AV","6AV","@123","mm/s"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\6AV","6AV","@123","mm/s"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\6AO","6AO","@123","m/s^2"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\6AO","6AO","@123","m/s^2"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\6T","6T","","C"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\6T","6T","","C"
"Machine","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE","CONTRAEJE","",""
"Machine","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE","CONTRAEJE","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\7HV","7HV","@ABC","mm/s"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\7HV","7HV","@ABC","mm/s"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\7HBaja","7HBaja","@ABC","mm/s"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\7HBaja","7HBaja","@ABC","mm/s"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\7HE3","7HE3","@ABC","gE"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\7HE3","7HE3","@ABC","gE"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\7Hac","7Hac","@ABC","m/s^2"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\7Hac","7Hac","@ABC","m/s^2"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\7VV","7VV","","mm/s"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\7VV","7VV","","mm/s"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\7AV","7AV","@123","mm/s"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\7AV","7AV","@123","mm/s"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\7AO","7AO","@123","m/s^2"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\7AO","7AO","@123","m/s^2"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\7T","7T","","C"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\7T","7T","","C"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\8HV","8HV","@ABC","mm/s"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\8HV","8HV","@ABC","mm/s"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\8HBaja","8HBaja","@ABC","mm/s"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\8HBaja","8HBaja","@ABC","mm/s"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\8HE3","8HE3","@ABC","gE"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\8HE3","8HE3","@ABC","gE"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\8Hac","8Hac","@ABC","m/s^2"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\8Hac","8Hac","@ABC","m/s^2"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\8VV","8VV","","mm/s"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\8VV","8VV","","mm/s"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\8AV","8AV","@123","mm/s"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\8AV","8AV","@123","mm/s"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\8AO","8AO","@123","m/s^2"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\8AO","8AO","@123","m/s^2"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\8T","8T","","C"
