"Type","Data Path","DTS","Note"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\Delta","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\Delta","",""
"Set","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR","",""
"Set","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100","",""
"Machine","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR","",""
"Set","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR","",""
"Set","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100","",""
"Machine","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\1HV","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\1HV","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\1HBaja","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\1HBaja","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\1EA3","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\1EA3","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\1Hac","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\1Hac","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\1VV","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\1VV","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\1AV","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\1AV","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\1T","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\1T","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\2HV","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\2HV","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\2HBaja","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\2HBaja","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\2EA3","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\2EA3","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\2Hac","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\2Hac","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\2VV","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\2VV","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\2AV","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\2AV","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\2T","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\2T","",""
"Set","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101","",""
"Machine","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR","",""
"Set","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101","",""
"Machine","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\1HV","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\1HV","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\1HBaja","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\1HBaja","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\1EA3","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\1EA3","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\1Hac","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\1Hac","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\1VV","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\1VV","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\1AV","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\1AV","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\1T","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\1T","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\2HV","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\2HV","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\2HBaja","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\2HBaja","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\2EA3","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\2EA3","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\2Hac","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\2Hac","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\2VV","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\2VV","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\2AV","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\2AV","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\2T","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\2T","",""
"Set","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 O","",""
"Set","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE","",""
"Machine","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\MOTOR","",""
"Set","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 O","",""
"Set","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE","",""
"Machine","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\MOTOR","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\MOTOR\1HV","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\MOTOR\1HV","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\MOTOR\1HBaja","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\MOTOR\1HBaja","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\MOTOR\1EA3","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\MOTOR\1EA3","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\MOTOR\1Hac","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\MOTOR\1Hac","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\MOTOR\1HAO","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\MOTOR\1HAO","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\MOTOR\1VV","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\MOTOR\1VV","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\MOTOR\1AV","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\MOTOR\1AV","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\MOTOR\1T","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\MOTOR\1T","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\MOTOR\2HV","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\MOTOR\2HV","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\MOTOR\2HBaja","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\MOTOR\2HBaja","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\MOTOR\2EA3","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\MOTOR\2EA3","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\MOTOR\2Hac","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\MOTOR\2Hac","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\MOTOR\2HAO","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\MOTOR\2HAO","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\MOTOR\2VV","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\MOTOR\2VV","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\MOTOR\2AV","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\MOTOR\2AV","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\MOTOR\2T","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\MOTOR\2T","",""
"Machine","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\REDUCTOR","",""
"Machine","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\REDUCTOR","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\REDUCTOR\3HV","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\REDUCTOR\3HV","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\REDUCTOR\3HBaja","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\REDUCTOR\3HBaja","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\REDUCTOR\3HE3","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\REDUCTOR\3HE3","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\REDUCTOR\3Hac","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\REDUCTOR\3Hac","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\REDUCTOR\3VV","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\REDUCTOR\3VV","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\REDUCTOR\3AV","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\REDUCTOR\3AV","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\REDUCTOR\3AO","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\REDUCTOR\3AO","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\REDUCTOR\3T","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\REDUCTOR\3T","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\REDUCTOR\4HV","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\REDUCTOR\4HV","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\REDUCTOR\4HBaja","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\REDUCTOR\4HBaja","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\REDUCTOR\4HE3","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\REDUCTOR\4HE3","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\REDUCTOR\4Hac","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\REDUCTOR\4Hac","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\REDUCTOR\4VV","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\REDUCTOR\4VV","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\REDUCTOR\4AV","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\REDUCTOR\4AV","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 O\ML-004-OESTE\REDUCTOR\4AO","",""
